marque,modele,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,couleur,sellerie,emission_CO2,crit_air,usage_commerciale_anterieure,annee,prix_neuf,Mise_en_circulation
FORD,FORD FIESTA,69301.0,Essence,Boite de vitesse manuelle,95,3,Citadine,Gris,Tissu ,117.0,Crit'Air 1,Unknown,2020,21650.0,09/05/2020
TOYOTA,TOYOTA PROACE,71887.0,Diesel,Boite de vitesse manuelle,120,2,Monospace,Gris,Tissu ,170.0,Crit'Air 2,Oui,2021,34265.0,09/04/2021
MERCEDES,MERCEDES-BENZ GLA,59649.0,Hybride,Boite de vitesse automatique,218,2,SUV,Gris,Mi-cuir ,32.0,Crit'Air 1,Oui,2020,55600.0,09/10/2020
BMW,BMW X1,37869.0,Essence,Boite de vitesse automatique,136,2,SUV,Noir,Mi-cuir ,148.0,Crit'Air 1,Non,2021,41850.0,09/05/2021
PEUGEOT,PEUGEOT 3008,58958.0,Diesel,Boite de vitesse automatique,130,3,SUV,Blanc,Mi-cuir ,98.0,Crit'Air 2,Oui,2019,38650.0,09/12/2019
PEUGEOT,PEUGEOT 2008,30876.0,Essence,Boite de vitesse automatique,131,2,SUV,Gris,Mi-cuir ,139.0,Crit'Air 1,Unknown,2020,29600.0,09/06/2020
OPEL,OPEL CORSA,80283.0,Essence,Boite de vitesse manuelle,100,2,Citadine,Rouge,Tissu ,128.0,Crit'Air 1,Non,2018,16600.0,09/09/2018
AUDI,AUDI Q3 SPORTBACK,28660.0,Essence,Boite de vitesse automatique,150,Inconnu,SUV,Gris,Tissu ,154.0,Crit'Air 1,Non,2020,44272.142857142855,09/09/2020
BMW,BMW X3,88306.0,Essence,Boite de vitesse automatique,184,Inconnu,SUV,Bleu,Cuir ,168.0,Crit'Air 1,Non,2017,53900.0,09/09/2017
SKODA,SKODA FABIA,44511.0,Essence,Boite de vitesse automatique,95,2,Citadine,Noir,Tissu ,132.0,Crit'Air 1,Non,2021,20220.0,09/10/2021
TOYOTA,TOYOTA YARIS CROSS,54261.0,Hybride,Boite de vitesse automatique,116,2,SUV,Blanc,Tissu ,107.0,Crit'Air 1,Oui,2022,29300.0,09/10/2022
PEUGEOT,PEUGEOT 3008,8552.0,Essence,Boite de vitesse automatique,130,1,SUV,Noir,Mi-cuir ,144.0,Crit'Air 1,Non,2024,39670.0,09/06/2024
PEUGEOT,PEUGEOT 208,11360.0,Essence,Boite de vitesse automatique,100,1,Citadine,Blanc,Mi-cuir ,123.0,Crit'Air 1,Non,2023,28120.0,09/06/2023
RENAULT,RENAULT CAPTUR,26624.0,Essence,Boite de vitesse automatique,160,2,SUV,Noir,Mi-cuir ,134.0,Crit'Air 1,Oui,2023,33000.0,09/04/2023
OPEL,OPEL CROSSLAND X,61644.0,Essence,Boite de vitesse manuelle,110,1,SUV,Orange,Tissu ,111.0,Crit'Air 1,Non,2018,22266.666666666668,09/07/2018
OPEL,OPEL MOKKA,47127.0,Essence,Boite de vitesse manuelle,100,1,SUV,Blanc,Mi-cuir ,127.0,Crit'Air 1,Unknown,2021,26825.0,09/07/2021
RENAULT,RENAULT TWINGO,70656.0,Essence,Boite de vitesse manuelle,90,3,Citadine,Noir,Tissu ,99.0,Crit'Air 1,Non,2017,14800.0,09/01/2017
PEUGEOT,PEUGEOT 3008,78679.0,Essence,Boite de vitesse automatique,130,1,SUV,Blanc,Mi-cuir ,120.0,Crit'Air 1,Non,2017,34450.0,09/04/2017
PEUGEOT,PEUGEOT 308,39155.0,Essence,Boite de vitesse automatique,130,2,Berline,Blanc,Mi-cuir ,130.0,Crit'Air 1,Oui,2022,36720.0,09/03/2022
HYUNDAI,HYUNDAI TUCSON,55056.0,Essence,Boite de vitesse automatique,150,2,SUV,Noir,Tissu ,146.0,Crit'Air 1,Oui,2021,37300.0,09/04/2021
MERCEDES,MERCEDES-BENZ CLASSE A,99270.0,Diesel,Boite de vitesse automatique,116,4,Berline,Blanc,Mi-cuir ,107.0,Crit'Air 2,Oui,2018,35600.0,09/12/2018
PEUGEOT,PEUGEOT 3008,78310.0,Diesel,Boite de vitesse automatique,130,Inconnu,SUV,Gris,Tissu ,135.0,Crit'Air 2,Non,2022,41150.0,09/05/2022
DACIA,DACIA JOGGER,17982.0,Hybride,Boite de vitesse automatique,141,1,Break,Noir,Tissu ,108.0,Crit'Air 1,Non,2023,25650.0,09/09/2023
DACIA,DACIA DUSTER,87018.0,Essence,Boite de vitesse manuelle,130,1,SUV,Marron,Tissu ,152.0,Crit'Air 1,Unknown,2019,21100.0,09/03/2019
