marque,modele,finition,annee,nb_occurrences
Abarth,Abarth 124 Spider,1.4 Turbo Turismo BVA,2019,1
Abarth,Abarth 500,1.4 Turbo T-Jet 595,2020,2
Abarth,Abarth 500,1.4 Turbo T-Jet 595,2022,1
Abarth,Abarth 500,1.4 Turbo T-Jet 595 Pista,2018,1
Abarth,Abarth 500,1.4 Turbo T-Jet 595 Turismo,2020,1
Abarth,Abarth 500,1.4 Turbo T-Jet 595 Turismo MSQ,2019,1
Abarth,Abarth 595,1.4 Turbo T-Jet 595,2017,1
Abarth,Abarth 595C,C 1.4 Turbo T-Jet 595 Scorpioneoro,2020,1
Alfa,Alfa Romeo Giulia,2.2 Sprint AT8,2020,1
Alfa,Alfa Romeo Giulia,2.2 Super AT8,2021,1
Alfa,Alfa Romeo Giulietta,1.4 TB MultiAir Super Alfa TCT,2018,1
Alfa,Alfa Romeo Giulietta,1.4 TJet Sprint,2019,1
Alfa,Alfa Romeo Giulietta,1.6 JTDM Giulietta,2017,1
Alfa,Alfa Romeo Giulietta,1.6 JTDM Super,2018,1
Alfa,Alfa Romeo Giulietta,2.0 JTDM Veloce Alfa TCT,2021,1
Alfa,Alfa Romeo Stelvio,2.2 Diesel Executive AT8,2018,1
Alfa,Alfa Romeo Stelvio,2.2 Diesel Q4 Super AT8,2017,1
Alfa,Alfa Romeo Tonale,1.5 Hybrid Sprint TCT7,2024,1
Alfa,Alfa Romeo Tonale,1.5 Hybrid VGT Veloce TCT7,2023,1
Audi,Audi A1,Sportback 1.0 TFSI Ultra Ambition Luxe S Tronic,2018,1
Audi,Audi A1,Sportback 1.0 TFSI Ultra S Line S Tronic,2017,2
Audi,Audi A1,Sportback 25 TFSI Advanced 2,2023,1
Audi,Audi A1,Sportback 25 TFSI Advanced 2 S Tronic 7,2021,1
Audi,Audi A1,Sportback 25 TFSI Advanced S Tronic 7,2019,1
Audi,Audi A1,Sportback 25 TFSI Design S Tronic 7,2021,1
Audi,Audi A1,Sportback 30 TFSI,2020,1
Audi,Audi A1,Sportback 30 TFSI,2023,1
Audi,Audi A1,Sportback 30 TFSI Advanced,2021,1
Audi,Audi A1,Sportback 30 TFSI Advanced S Tronic 7,2020,1
Audi,Audi A1,Sportback 30 TFSI Advanced S Tronic 7,2021,1
Audi,Audi A1,Sportback 30 TFSI Design,2019,1
Audi,Audi A1,Sportback 30 TFSI Design Luxe S Tronic 7,2021,1
Audi,Audi A1,Sportback 30 TFSI Design S Tronic 7,2018,3
Audi,Audi A1,Sportback 30 TFSI Design S Tronic 7,2020,1
Audi,Audi A1,Sportback 30 TFSI Design S Tronic 7,2021,1
Audi,Audi A1,Sportback 30 TFSI S Line S Tronic 7,2018,1
Audi,Audi A1,Sportback 30 TFSI S Line S Tronic 7,2019,1
Audi,Audi A1,Sportback 30 TFSI S Line S Tronic 7,2021,2
Audi,Audi A1,Sportback 40 TFSI S Line S Tronic 6,2019,1
Audi,Audi A1,Sportback 40 TFSI S Line S Tronic 7,2023,1
Audi,Audi A1 citycarver,30 TFSI S Tronic 7,2021,1
Audi,Audi A3,1.0 TFSI Sport,2017,1
Audi,Audi A3,Sportback 1.4 TFSI COD Sport S Tronic 7,2017,1
Audi,Audi A3,Sportback 2.0 TDI Design Luxe S Tronic 6,2018,1
Audi,Audi A3,Sportback 30 TDI Design Luxe S Tronic 7,2019,2
Audi,Audi A3,Sportback 30 TFSI S Line S Tronic 7,2019,2
Audi,Audi A3,Sportback 30 TFSI Sport Limited,2019,1
Audi,Audi A3,Sportback 30 TFSI mHEV Design S Tronic,2021,1
Audi,Audi A3,Sportback 35 TDI Design Luxe S Tronic 7,2021,1
Audi,Audi A3,Sportback 35 TDI S Tronic 7,2020,1
Audi,Audi A3,Sportback 35 TDI S Tronic 7,2023,1
Audi,Audi A3,Sportback 35 TFSI COD Design Luxe S Tronic 7,2019,1
Audi,Audi A3,Sportback 35 TFSI COD S Line S Tronic 7,2019,1
Audi,Audi A3,Sportback 35 TFSI COD S Line S Tronic 7,2021,1
Audi,Audi A3,Sportback 35 TFSI COD Sport S Tronic 7,2020,1
Audi,Audi A3,Sportback 35 TFSI mHEV Design S Tronic 7,2023,2
Audi,Audi A3,Sportback 35 TFSI mHEV S Line S Tronic 7,2022,1
Audi,Audi A3 Limousine,1.6 TDI S Tronic,2019,1
Audi,Audi A3 Limousine,2.0 TDI Design S Tronic 6,2017,1
Audi,Audi A3 Limousine,2.0 TDI S Tronic 7,2019,1
Audi,Audi A3 Limousine,35 TFSI mHEV S Line S Tronic 7,2021,1
Audi,Audi A4,1.4 TFSI S Line,2018,1
Audi,Audi A4,30 TDI S Line S Tronic,2021,1
Audi,Audi A4,40 TDI S Tronic,2020,1
Audi,Audi A4,Avant 1.4 TFSI S Line S Tronic,2018,1
Audi,Audi A4,Avant 35 TFSI S Line S Tronic 7,2022,1
Audi,Audi A4,Avant 40 TFSI Ultra Design Luxe S Tronic,2019,1
Audi,Audi A4,Avant 40 TFSI Ultra S Line S Tronic,2022,1
