marque,modele,prix,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,nb_porte,nb_place,couleur,sellerie,classe_emission,emission_CO2,crit_air,usage_commerciale_anterieure,annee,age_days,age_years,age_months,km_per_year,km_per_month,id_annonce,prix_neuf,ratio_vr
FORD,FORD FIESTA,13190.0,69301.0,Essence,Boite de vitesse manuelle,95,3,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,117.0,Crit'Air 1,Unknown,2020,1790.0,4.9,59.7,14143.1,1160.8,1,21650.0,0.6092378752886836
TOYOTA,TOYOTA PROACE,23990.0,71887.0,Diesel,Boite de vitesse manuelle,120,2,Monospace,4,9,Gris,Tissu (Sellerie d'origine),EURO 6,170.0,Crit'Air 2,Oui,2021,1441.0,3.9,48.0,18432.6,1497.6,2,34265.0,0.7001313293448125
MERCEDES,MERCEDES-BENZ GLA,32490.0,59649.0,Hybride,Boite de vitesse automatique,218,2,SUV,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,32.0,Crit'Air 1,Oui,2020,1629.0,4.5,54.3,13255.3,1098.5,3,55600.0,0.5843525179856115
BMW,BMW X1,27890.0,37869.0,Essence,Boite de vitesse automatique,136,2,SUV,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,148.0,Crit'Air 1,Non,2021,1435.0,3.9,47.8,9710.0,792.2,4,41850.0,0.6664277180406213
PEUGEOT,PEUGEOT 3008,19090.0,58958.0,Diesel,Boite de vitesse automatique,130,3,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,98.0,Crit'Air 2,Oui,2019,1926.0,5.3,64.2,11124.2,918.3,5,38650.0,0.4939197930142303
PEUGEOT,PEUGEOT 2008,17990.0,30876.0,Essence,Boite de vitesse automatique,131,2,SUV,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,139.0,Crit'Air 1,Unknown,2020,1763.0,4.8,58.8,6432.5,525.1,6,29600.0,0.6077702702702703
OPEL,OPEL CORSA,9490.0,80283.0,Essence,Boite de vitesse manuelle,100,2,Citadine,5,5,Rouge,Tissu (Sellerie d'origine),EURO 6,128.0,Crit'Air 1,Non,2018,2385.0,6.5,79.5,12351.2,1009.8,7,16600.0,0.5716867469879519
AUDI,AUDI Q3 SPORTBACK,32290.0,28660.0,Essence,Boite de vitesse automatique,150,Inconnu,SUV,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,154.0,Crit'Air 1,Non,2020,1665.0,4.6,55.5,6230.4,516.4,8,44272.142857142855,0.7293525435214018
BMW,BMW X3,23890.0,88306.0,Essence,Boite de vitesse automatique,184,Inconnu,SUV,5,5,Bleu,Cuir (Sellerie d'origine),EURO 6,168.0,Crit'Air 1,Non,2017,2743.0,7.5,91.4,11774.1,966.1,9,53900.0,0.44322820037105753
SKODA,SKODA FABIA,14590.0,44511.0,Essence,Boite de vitesse automatique,95,2,Citadine,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,132.0,Crit'Air 1,Non,2021,1260.0,3.5,42.0,12717.4,1059.8,10,20220.0,0.7215628090999011
TOYOTA,TOYOTA YARIS CROSS,20590.0,54261.0,Hybride,Boite de vitesse automatique,116,2,SUV,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,107.0,Crit'Air 1,Oui,2022,924.0,2.5,30.8,21704.4,1761.7,11,29300.0,0.7027303754266212
PEUGEOT,PEUGEOT 3008,25190.0,8552.0,Essence,Boite de vitesse automatique,130,1,SUV,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,144.0,Crit'Air 1,Non,2024,302.0,0.8,10.1,10690.0,846.7,12,39670.0,0.6349886564154272
PEUGEOT,PEUGEOT 208,17290.0,11360.0,Essence,Boite de vitesse automatique,100,1,Citadine,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,123.0,Crit'Air 1,Non,2023,660.0,1.8,22.0,6311.1,516.4,13,28120.0,0.6148648648648649
RENAULT,RENAULT CAPTUR,20690.0,26624.0,Essence,Boite de vitesse automatique,160,2,SUV,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,134.0,Crit'Air 1,Oui,2023,721.0,2.0,24.0,13312.0,1109.3,15,33000.0,0.626969696969697
OPEL,OPEL CROSSLAND X,11390.0,61644.0,Essence,Boite de vitesse manuelle,110,1,SUV,5,5,Orange,Tissu (Sellerie d'origine),EURO 6,111.0,Crit'Air 1,Non,2018,2438.0,6.7,81.3,9200.6,758.2,16,22266.666666666668,0.5115269461077844
OPEL,OPEL MOKKA,15590.0,47127.0,Essence,Boite de vitesse manuelle,100,1,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,127.0,Crit'Air 1,Unknown,2021,1356.0,3.7,45.2,12737.0,1042.6,17,26825.0,0.5811742777260018
RENAULT,RENAULT TWINGO,8290.0,70656.0,Essence,Boite de vitesse manuelle,90,3,Citadine,5,4,Noir,Tissu (Sellerie d'origine),EURO 6,99.0,Crit'Air 1,Non,2017,2983.0,8.2,99.4,8616.6,710.8,18,14800.0,0.5601351351351351
PEUGEOT,PEUGEOT 3008,13990.0,78679.0,Essence,Boite de vitesse automatique,130,1,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,120.0,Crit'Air 1,Non,2017,2883.0,7.9,96.1,9959.4,818.7,19,34450.0,0.4060957910014514
PEUGEOT,PEUGEOT 308,19990.0,39155.0,Essence,Boite de vitesse automatique,130,2,Berline,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,130.0,Crit'Air 1,Oui,2022,1125.0,3.1,37.5,12630.6,1044.1,20,36720.0,0.5443899782135077
HYUNDAI,HYUNDAI TUCSON,23190.0,55056.0,Essence,Boite de vitesse automatique,150,2,SUV,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,146.0,Crit'Air 1,Oui,2021,1462.0,4.0,48.7,13764.0,1130.5,21,37300.0,0.62171581769437
MERCEDES,MERCEDES-BENZ CLASSE A,19890.0,99270.0,Diesel,Boite de vitesse automatique,116,4,Berline,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,107.0,Crit'Air 2,Oui,2018,2298.0,6.3,76.6,15757.1,1296.0,22,35600.0,0.5587078651685393
PEUGEOT,PEUGEOT 3008,21790.0,78310.0,Diesel,Boite de vitesse automatique,130,Inconnu,SUV,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,135.0,Crit'Air 2,Non,2022,1077.0,3.0,35.9,26103.3,2181.3,23,41150.0,0.5295261239368165
DACIA,DACIA JOGGER,21990.0,17982.0,Hybride,Boite de vitesse automatique,141,1,Break,5,7,Noir,Tissu (Sellerie d'origine),EURO 6,108.0,Crit'Air 1,Non,2023,572.0,1.6,19.1,11238.8,941.5,24,25650.0,0.8573099415204678
DACIA,DACIA DUSTER,14290.0,87018.0,Essence,Boite de vitesse manuelle,130,1,SUV,5,5,Marron,Tissu (Sellerie d'origine),EURO 6,152.0,Crit'Air 1,Unknown,2019,2190.0,6.0,73.0,14503.0,1192.0,25,21100.0,0.6772511848341233
CITROEN,CITROEN BERLINGO,21690.0,33357.0,Essence,Boite de vitesse automatique,131,2,Monospace,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,154.0,Crit'Air 1,Unknown,2021,1289.0,3.5,43.0,9530.6,775.7,26,28350.0,0.765079365079365
OPEL,OPEL CORSA,15990.0,34983.0,Essence,Boite de vitesse automatique,130,Inconnu,Citadine,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,122.0,Crit'Air 1,Non,2022,1098.0,3.0,36.6,11661.0,955.8,27,26300.0,0.6079847908745247
RENAULT,RENAULT CLIO,9390.0,71731.0,Essence,Boite de vitesse manuelle,76,4,Citadine,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,113.0,Crit'Air 1,Oui,2019,2140.0,5.9,71.3,12157.8,1006.0,28,18580.0,0.5053821313240043
PEUGEOT,PEUGEOT 308,11190.0,85830.0,Essence,Boite de vitesse automatique,130,2,Berline,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,117.0,Crit'Air 1,Non,2019,2234.0,6.1,74.5,14070.5,1152.1,29,30775.0,0.3636068237205524
PEUGEOT,PEUGEOT 3008,18690.0,68451.0,Essence,Boite de vitesse automatique,180,1,SUV,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,128.0,Crit'Air 1,Non,2019,2156.0,5.9,71.9,11601.9,952.0,30,39650.0,0.47137452711223204
