source_model,source_year,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_year
Smart fortwo,2019,III (2) ELECTRIQUE 60KW EQ PASSION 17.6 KWH,3,Elec.,Automatique,0,26 500 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III (2) ELECTRIQUE 60KW EQ PRIME 17.6 KWH,3,Elec.,Automatique,0,28 500 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 90 BUSINESS+,3,Ess.,Mécanique,118 (nedc),15 900 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 90 BUSINESS+ BVA6,3,Ess.,Automatique,118 (nedc),17 100 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 90 BUSINESS+ TWINAMIC,3,Ess.,Automatique,97 (nedc),16 600 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 90 BUSINESS+ TWINAMIC BVA6,3,Ess.,Automatique,97 (nedc),17 800 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 90 PASSION,3,Ess.,Mécanique,118 (nedc),14 550 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 90 PASSION TWINAMIC,3,Ess.,Automatique,118 (nedc),15 750 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 90 PRIME,3,Ess.,Mécanique,118 (nedc),16 700 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 90 PRIME BVA6,3,Ess.,Automatique,118 (nedc),17 900 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 90 PRIME TWINAMIC,3,Ess.,Automatique,118 (nedc),17 900 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 90 PRIME TWINAMIC 6,3,Ess.,Automatique,118 (nedc),19 100 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 BRABUS STYLE,3,Ess.,Mécanique,118 (nedc),18 450 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 BRABUS STYLE BVA,3,Ess.,Automatique,118 (nedc),19 650 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 BRABUS STYLE BVA BVA6,3,Ess.,Automatique,118 (nedc),20 850 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 BRABUS STYLE BVA6,3,Ess.,Automatique,118 (nedc),19 650 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 PERFECT,3,Ess.,Mécanique,118 (nedc),14 675 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 PERFECT BVA6,3,Ess.,Automatique,118 (nedc),15 875 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 URBANSHADOW EDITION,3,Ess.,Mécanique,118 (nedc),14 550 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 0.9 URBANSHADOW EDITION BVA6,3,Ess.,Automatique,118 (nedc),15 750 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 BUSINESS+,3,Ess.,Mécanique,114 (nedc),14 815 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 BUSINESS+ BVA6,3,Ess.,Automatique,114 (nedc),16 015 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 BUSINESS+ TWINAMIC,3,Ess.,Automatique,93 (nedc),15 575 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 BUSINESS+ TWINAMIC BVA6,3,Ess.,Automatique,93 (nedc),16 775 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PASSION,3,Ess.,Mécanique,114 (nedc),13 465 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PASSION BVA6,3,Ess.,Automatique,114 (nedc),14 665 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PASSION TWINAMIC,3,Ess.,Automatique,93 (nedc),14 225 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PASSION TWINAMIC BVA6,3,Ess.,Automatique,93 (nedc),15 425 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PRIME,3,Ess.,Mécanique,114 (nedc),15 615 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PRIME BVA6,3,Ess.,Automatique,114 (nedc),16 815 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,,,,,,,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PRIME TWINAMIC,3,Ess.,Automatique,93 (nedc),16 375 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PRIME TWINAMIC BVA6,3,Ess.,Automatique,93 (nedc),17 575 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PURE,3,Ess.,Mécanique,114 (nedc),11 290 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PURE BVA6,3,Ess.,Automatique,114 (nedc),12 490 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PURE TWINAMIC,3,Ess.,Automatique,93 (nedc),12 050 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 71 PURE TWINAMIC BVA6,3,Ess.,Automatique,93 (nedc),13 250 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 BRABUS STYLE,3,Ess.,Mécanique,114 (nedc),17 365 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 BRABUS STYLE BVA6,3,Ess.,Automatique,114 (nedc),18 565 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,"Devis assurance auto
Financement",,,,,,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 PERFECT,3,Ess.,Mécanique,114 (nedc),13 590 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 PERFECT BVA6,3,Ess.,Automatique,114 (nedc),14 790 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 URBANSHADOW EDITION,3,Ess.,Mécanique,114 (nedc),13 465 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III 1.0 URBANSHADOW EDITION BVA6,3,Ess.,Automatique,114 (nedc),14 665 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ BRABUS STYLE 17.6 KWH,3,Elec.,Automatique,0,28 800 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ BRABUS STYLE BVA6 17.6 KWH,3,Elec.,Automatique,0,30 000 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ BUSINESS+ 17.6 KWH,3,Elec.,Automatique,0,25 300 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ BUSINESS+ BVA6 17.6 KWH,3,Elec.,Automatique,0,26 500 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ BUSINESS+ TWINAMIC 17.6 KWH,3,Elec.,Automatique,NC,25 850 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ BUSINESS+ TWINAMIC BVA6 17.6 KWH,3,Elec.,Automatique,NC,27 050 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ PASSION 17.6 KWH,3,Elec.,Automatique,0,24 900 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ PASSION BVA6 17.6 KWH,3,Elec.,Automatique,0,26 100 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ PASSION TWINAMIC 17.6 KWH,3,Elec.,Automatique,NC,25 450 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ PASSION TWINAMIC BVA6 17.6 KWH,3,Elec.,Automatique,NC,26 650 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ PERFECT 17.6 KWH,3,Elec.,Automatique,0,25 025 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ PERFECT BVA6 17.6 KWH,3,Elec.,Automatique,0,26 225 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
Smart fortwo,2019,III ELECTRIQUE 60KW EQ PRIME 17.6 KWH,3,Elec.,Automatique,0,27 050 €,https://www.caradisiac.com/fiches-techniques/modele--smart-fortwo-3/2019/,SMART,FORTWO,2019,Very Exact match,Partial match,Very Exact match
