marque,modele,annee,nb_occurrences
Nissan,Nissan Qashqai,2021,2
Nissan,Nissan Qashqai,2022,2
Nissan,Nissan Qashqai,2023,2
Nissan,Nissan X-Trail,2017,1
Nissan,Nissan X-Trail,2018,1
Nissan,Nissan X-Trail,2020,1
Opel,Opel Adam,2018,1
Opel,Opel Astra,2018,1
Opel,Opel Astra,2019,1
Opel,Opel Astra,2020,1
Opel,Opel Combo Life,2019,3
Opel,Opel Combo Life,2021,3
Opel,Opel Corsa,2017,3
Opel,Opel Corsa,2018,2
Opel,Opel Corsa,2019,2
Opel,Opel Corsa,2020,6
Opel,Opel Corsa,2021,3
Opel,Opel Corsa,2022,4
Opel,Opel Corsa,2023,2
Opel,Opel Crossland X,2017,1
Opel,Opel Crossland X,2018,7
Opel,Opel Crossland X,2019,4
Opel,Opel Crossland X,2020,2
Opel,Opel Crossland X,2021,5
Opel,Opel Crossland X,2023,1
Opel,Opel Grandland X,2018,2
Opel,Opel Grandland X,2019,1
Opel,Opel Grandland X,2020,1
Opel,Opel Grandland X,2021,2
Opel,Opel Insignia Grand Sport,2017,1
Opel,Opel Insignia Grand Sport,2018,1
Opel,Opel Insignia Grand Sport,2020,2
Opel,Opel Insignia Grand Sport,2021,1
Opel,Opel Insignia Sports Tourer,2019,1
Opel,Opel Karl,2018,1
Opel,Opel Karl,2019,2
Opel,Opel Mokka,2021,7
Opel,Opel Mokka,2022,7
Opel,Opel Mokka,2023,2
Opel,Opel Mokka X,2018,1
Opel,Opel Zafira,2017,1
Peugeot,Peugeot 108,2017,1
Peugeot,Peugeot 108,2018,4
Peugeot,Peugeot 108,2019,3
Peugeot,Peugeot 108,2020,1
Peugeot,Peugeot 2008,2017,15
Peugeot,Peugeot 2008,2018,14
Peugeot,Peugeot 2008,2019,28
Peugeot,Peugeot 2008,2020,33
Peugeot,Peugeot 2008,2021,14
