source_model,source_year,Versions,Portes,Energie,Boite,"CO2
(g/km)",Prix,url,option_marque_select,option_modele_select,option_year_select,match_type_marque,match_type_modele,match_type_year
Renault Captur,2019,(2) 0.9 TCE 90 BUSINESS,5,Ess.,Mécanique,125 (nedc),20 500 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 0.9 TCE 90 BUSINESS 123G,5,Ess.,Mécanique,123 (nedc),20 300 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 0.9 TCE 90 INTENS,5,Ess.,Mécanique,125 (nedc),22 000 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 0.9 TCE 90 INTENS 123G,5,Ess.,Mécanique,123 (nedc),21 800 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 0.9 TCE 90 LIFE,5,Ess.,Mécanique,125 (nedc),18 000 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 0.9 TCE 90 LIFE 123G,5,Ess.,Mécanique,123 (nedc),17 800 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 0.9 TCE 90 SUNSET,5,Ess.,Mécanique,125 (nedc),20 400 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 0.9 TCE 90 ZEN,5,Ess.,Mécanique,125 (nedc),19 900 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 0.9 TCE 90 ZEN 123G,5,Ess.,Mécanique,123 (nedc),19 700 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 1.3 TCE 130 FAP INITIALE PARIS,5,Ess.,Mécanique,128 (nedc),26 450 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 1.3 TCE 130 FAP INTENS,5,Ess.,Mécanique,128 (nedc),23 050 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 1.3 TCE 130 FAP RED EDITION,5,Ess.,Mécanique,128 (nedc),23 750 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 1.3 TCE 130 FAP SUNSET,5,Ess.,Mécanique,128 (nedc),21 450 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
Renault Captur,2019,(2) 1.3 TCE 130 FAP ZEN,5,Ess.,Mécanique,128 (nedc),20 950 €,https://www.caradisiac.com/fiches-techniques/modele--renault-captur/2019/,RENAULT,CAPTUR,2019,Very Exact match,Partial match,Very Exact match
