marque,modele,annee,nb_occurrences
Volkswagen,Volkswagen Golf VII,2018,2
Volkswagen,Volkswagen Golf VII,2019,10
Volkswagen,Volkswagen Golf VII,2020,6
Volkswagen,Volkswagen Golf VII Sportsvan,2017,1
Volkswagen,Volkswagen Golf VII Sportsvan,2019,1
Volkswagen,Volkswagen Golf VII Sportsvan,2020,1
Volkswagen,Volkswagen Golf VIII,2020,4
Volkswagen,Volkswagen Golf VIII,2021,1
Volkswagen,Volkswagen Golf VIII,2022,3
Volkswagen,Volkswagen Golf VIII,2023,1
Volkswagen,Volkswagen Golf VIII,2024,1
Volkswagen,Volkswagen Passat,2019,1
Volkswagen,Volkswagen Polo,2017,3
Volkswagen,Volkswagen Polo,2018,9
Volkswagen,Volkswagen Polo,2019,16
Volkswagen,Volkswagen Polo,2020,4
Volkswagen,Volkswagen Polo,2021,11
Volkswagen,Volkswagen Polo,2022,5
Volkswagen,Volkswagen Polo,2023,4
Volkswagen,Volkswagen T-Cross,2019,3
Volkswagen,Volkswagen T-Cross,2020,7
Volkswagen,Volkswagen T-Cross,2021,7
Volkswagen,Volkswagen T-Cross,2022,5
Volkswagen,Volkswagen T-Cross,2023,3
Volkswagen,Volkswagen T-Cross,2024,2
Volkswagen,Volkswagen T-Roc,2017,1
Volkswagen,Volkswagen T-Roc,2018,3
Volkswagen,Volkswagen T-Roc,2019,6
Volkswagen,Volkswagen T-Roc,2020,7
Volkswagen,Volkswagen T-Roc,2021,6
Volkswagen,Volkswagen T-Roc,2022,6
Volkswagen,Volkswagen T-Roc,2023,1
Volkswagen,Volkswagen T-Roc,2024,2
Volkswagen,Volkswagen Taigo,2022,5
Volkswagen,Volkswagen Taigo,2023,4
Volkswagen,Volkswagen Tiguan,2018,4
Volkswagen,Volkswagen Tiguan,2019,6
Volkswagen,Volkswagen Tiguan,2020,3
Volkswagen,Volkswagen Tiguan,2021,3
Volkswagen,Volkswagen Tiguan,2022,2
Volkswagen,Volkswagen Tiguan Allspace,2022,1
Volkswagen,Volkswagen Touran,2017,2
Volkswagen,Volkswagen Touran,2019,1
Volkswagen,Volkswagen Touran,2021,1
Volkswagen,Volkswagen up!,2017,2
Volkswagen,Volkswagen up!,2018,2
Volkswagen,Volkswagen up!,2019,1
Volkswagen,Volkswagen up!,2021,2
Volvo,Volvo V40,2018,3
Volvo,Volvo V40 Cross Country,2019,1
